Year,USDNo,StudentID,Race,Gender,IEP,ESOL,Lunch,PHYS1,PHYS2,PHYS3,PHYS4,PHYS5,PHYS6,PHYS7,SOC8,SOC9,SOC10,SOC11,SOC12,SOC13,SYM14,SYM15,SYM16,SYM17,SYM18,GK19,GK20,GK21,GK22,GK23,OC24,OC25,OC26,OC27,OC28,WL29,WL30,WL31,WL32,WL33,WL34,WL35,MC36,MC37,MC38,MC39,MC40,MC41,WH42,WH43,WH44,WH45,WH46,ATT47,ATT48,ATT49,ATT50,ATT51,PHYS1S,PHYS2S,PHYS3S,PHYS4S,PHYS5S,PHYS6S,PHYS7S,SOC8S,SOC9S,SOC10S,SOC11S,SOC12S,SOC13S,SYM14S,SYM15S,SYM16S,SYM17S,SYM18S,GK19S,GK20S,GK21S,GK22S,GK23S,OC24S,OC25S,OC26S,OC27S,OC28S,WL29S,WL30S,WL31S,WL32S,WL33S,WL34S,WL35S,MC36S,MC37S,MC38S,MC39S,MC40S,MC41S,WH42S,WH43S,WH44S,WH45S,WH46S,ATT47S,ATT48S,ATT49S,ATT50S,ATT51S,ESOL_Participation_Code,lunch_re,male,minority,iep_re,phys,soc,sym,gk,oc,wl,mc,wh,att,keli_s
2008,457,3120000064,hispanic/latino,male,NO IEP - Regular Education,ELL,Reduced Price Lunch,mastered,mastered,mastered,mastered,somewhat,mastered,somewhat,often,often,often,often,sometimes,often,sometimes,rarely,often,rarely,never,some,most,often,often,often,often,often,sometimes,sometimes,sometimes,none,none,sometimes,sometimes,no,sometimes,sometimes,yes,no,none,many,sometimes,often,sometimes,rarely,often,,,often,sometimes,often,often,sometimes,mastered,mastered,mastered,mastered,mastered,mastered,mastered,often,often,often,often,often,often,often,often,often,sometimes,rarely,some,most,often,often,often,often,often,often,often,often,some,some,sometimes,often,first only,rarely,rarely,yes,no,some,many,sometimes,often,often,often,often,often,often,often,often,often,often,often,,1,1,1,0,1.7142857143,2.8333333333,1.4,2.4,2.4,1.1428571429,1.5,2,2.6,2.2888888889
2008,457,3120000065,hispanic/latino,male,NO IEP - Regular Education,ELL,Free Lunch,somewhat,somewhat,mastered,mastered,mastered,mastered,somewhat,often,often,sometimes,rarely,sometimes,often,rarely,rarely,often,never,never,some,some,rarely,sometimes,rarely,sometimes,often,rarely,rarely,rarely,none,none,never,rarely,no,never,never,no,no,none,none,rarely,sometimes,rarely,sometimes,often,sometimes,sometimes,sometimes,sometimes,sometimes,often,rarely,somewhat,somewhat,mastered,mastered,mastered,somewhat,somewhat,often,often,sometimes,often,sometimes,sometimes,often,rarely,sometimes,never,never,none,some,rarely,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,some,some,rarely,sometimes,first only,rarely,rarely,sometimes,no,none,some,rarely,sometimes,sometimes,rarely,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,rarely,rarely,,1,1,1,0,1.5714285714,2.3333333333,1,1.2,1.6,0.1428571429,0.5,2,2,1.3777777778
2008,457,3120000066,african american,female,NO IEP - Regular Education,English Speaking,Reduced Price Lunch,somewhat,none,mastered,somewhat,mastered,mastered,somewhat,sometimes,often,often,often,sometimes,often,often,sometimes,sometimes,sometimes,rarely,none,most,often,often,sometimes,often,often,often,often,often,some,some,sometimes,rarely,first only,rarely,rarely,yes,sometimes,none,many,sometimes,often,often,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,often,rarely,rarely,mastered,mastered,mastered,mastered,mastered,mastered,mastered,often,often,often,often,sometimes,often,often,often,often,often,sometimes,some,most,often,often,often,often,often,often,often,often,all,most,often,often,both,often,sometimes,yes,yes,many,many,sometimes,often,often,often,sometimes,often,often,sometimes,often,often,sometimes,sometimes,,1,0,1,0,1.2857142857,2.6666666667,2,2,3,1.1428571429,1.6666666667,2.2,1.8,2.4888888889
2008,457,3120000068,,,,,,mastered,mastered,mastered,mastered,mastered,mastered,mastered,often,often,sometimes,sometimes,often,often,often,rarely,often,never,rarely,some,most,sometimes,rarely,rarely,often,often,often,often,often,some,some,sometimes,sometimes,both,rarely,rarely,yes,sometimes,none,many,rarely,often,sometimes,often,often,often,often,often,often,often,often,often,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.6666666667,1.6,1.4,3,1.4285714286,1.5,2.8,3,
2008,457,3120000069,hispanic/latino,female,NO IEP - Regular Education,ELL,Regular Priced Lunch,mastered,mastered,mastered,mastered,mastered,somewhat,mastered,often,often,often,often,often,sometimes,sometimes,rarely,sometimes,never,never,some,most,rarely,sometimes,sometimes,often,often,sometimes,sometimes,sometimes,most,some,often,sometimes,first only,sometimes,sometimes,yes,sometimes,some,many,sometimes,often,often,often,often,often,often,often,sometimes,often,sometimes,sometimes,mastered,mastered,mastered,mastered,mastered,somewhat,mastered,often,often,often,sometimes,often,often,often,sometimes,often,sometimes,rarely,some,most,often,sometimes,often,often,often,sometimes,often,often,all,some,often,often,first only,sometimes,often,yes,sometimes,some,many,sometimes,often,often,sometimes,often,often,often,often,often,often,often,rarely,,0,0,1,0,1.8571428571,2.8333333333,1,1.6,2.4,1.8571428571,1.8333333333,3,2.4,2.2888888889
2008,457,3120000070,hispanic/latino,male,NO IEP - Regular Education,ELL,Free Lunch,mastered,mastered,mastered,mastered,mastered,somewhat,mastered,often,often,often,often,often,often,often,rarely,often,rarely,rarely,some,most,sometimes,sometimes,often,often,often,sometimes,sometimes,sometimes,all,some,sometimes,sometimes,first only,sometimes,sometimes,yes,sometimes,some,many,sometimes,often,often,often,often,often,often,often,often,often,often,often,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1.8571428571,3,1.8,2,2.4,1.8571428571,1.8333333333,3,3,
2008,457,3120000072,african american,male,NO IEP - Regular Education,English Speaking,Regular Priced Lunch,mastered,somewhat,somewhat,mastered,none,none,somewhat,often,often,sometimes,sometimes,sometimes,rarely,sometimes,rarely,sometimes,never,never,some,most,sometimes,sometimes,often,sometimes,sometimes,rarely,sometimes,sometimes,some,some,sometimes,sometimes,no,rarely,rarely,no,no,none,some,sometimes,often,sometimes,sometimes,sometimes,often,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,mastered,mastered,mastered,mastered,mastered,mastered,mastered,often,often,often,often,often,often,often,sometimes,often,rarely,sometimes,some,most,sometimes,often,often,often,sometimes,often,often,sometimes,some,some,sometimes,sometimes,first only,sometimes,sometimes,yes,sometimes,some,many,often,often,often,often,often,often,sometimes,often,sometimes,often,sometimes,sometimes,,0,1,1,0,1,2.1666666667,1,2,1.8,1.1428571429,1,2.2,2,2.1777777778
2008,457,3120000074,white,female,NO IEP - Regular Education,English Speaking,Free Lunch,somewhat,somewhat,mastered,mastered,somewhat,none,somewhat,often,often,sometimes,sometimes,sometimes,often,often,rarely,rarely,rarely,sometimes,some,most,rarely,rarely,rarely,often,often,often,rarely,often,some,none,sometimes,sometimes,no,rarely,rarely,sometimes,no,none,many,rarely,rarely,often,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,often,sometimes,sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1.1428571429,2.5,1.6,1.2,2.6,1,0.8333333333,2.2,2.2,
2008,457,3120000075,hispanic/latino,male,NO IEP - Regular Education,English Speaking,Regular Priced Lunch,somewhat,somewhat,mastered,mastered,somewhat,mastered,somewhat,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,often,sometimes,often,sometimes,never,some,some,often,sometimes,sometimes,sometimes,sometimes,often,sometimes,often,some,some,sometimes,rarely,no,rarely,rarely,sometimes,no,some,many,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,mastered,mastered,mastered,mastered,mastered,mastered,somewhat,,sometimes,sometimes,sometimes,sometimes,often,often,often,sometimes,often,often,some,most,often,often,often,often,often,often,often,often,all,most,often,often,both,often,sometimes,yes,yes,many,many,often,often,often,sometimes,sometimes,sometimes,often,often,often,often,sometimes,sometimes,,0,1,1,0,1.4285714286,2,2,1.8,2.4,1,1.3333333333,2,2,2.4666666667
2008,457,3120000076,hispanic/latino,male,NO IEP - Regular Education,ELL,Free Lunch,mastered,mastered,mastered,mastered,somewhat,none,somewhat,often,often,often,often,often,sometimes,sometimes,rarely,often,never,never,some,most,sometimes,sometimes,often,often,often,sometimes,sometimes,sometimes,most,some,sometimes,sometimes,first only,sometimes,sometimes,yes,sometimes,some,many,rarely,often,often,often,often,often,often,often,often,often,often,often,mastered,mastered,somewhat,mastered,none,none,mastered,often,often,often,often,often,often,often,sometimes,often,rarely,rarely,some,most,often,sometimes,often,often,sometimes,sometimes,sometimes,sometimes,all,some,often,often,first only,sometimes,sometimes,yes,sometimes,many,many,often,often,often,often,often,often,often,often,often,often,sometimes,sometimes,,1,1,1,0,1.4285714286,2.8333333333,1.2,2,2.4,1.7142857143,1.6666666667,3,3,2.1555555556
2008,480,3120000002,hispanic/latino,male,NO IEP - Regular Education,ELL,Reduced Price Lunch,none,somewhat,somewhat,mastered,somewhat,none,none,rarely,sometimes,sometimes,sometimes,often,often,sometimes,rarely,often,rarely,never,none,some,rarely,sometimes,never,sometimes,often,sometimes,rarely,sometimes,some,none,rarely,sometimes,no,rarely,never,no,no,some,some,sometimes,rarely,rarely,sometimes,sometimes,rarely,sometimes,,sometimes,often,often,rarely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0.7142857143,2.1666666667,1.4,0.8,2,0.7142857143,0.8333333333,1.6,2.25,
2008,480,3120000003,hispanic/latino,male,NO IEP - Regular Education,ELL,Regular Priced Lunch,mastered,mastered,mastered,mastered,somewhat,somewhat,somewhat,often,often,often,often,sometimes,often,sometimes,sometimes,often,never,never,some,some,often,sometimes,rarely,often,often,often,sometimes,sometimes,some,some,sometimes,sometimes,first only,rarely,rarely,no,no,some,some,often,sometimes,often,sometimes,sometimes,often,often,often,sometimes,often,sometimes,sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1.5714285714,2.8333333333,1.4,1.6,2.6,1.2857142857,1.1666666667,2.6,2.4,
2008,480,3120000007,hispanic/latino,male,NO IEP - Regular Education,ELL,Reduced Price Lunch,none,none,somewhat,somewhat,none,somewhat,none,rarely,rarely,never,rarely,sometimes,never,sometimes,rarely,sometimes,never,never,none,none,rarely,rarely,rarely,sometimes,rarely,never,never,rarely,none,none,rarely,rarely,no,never,never,no,no,none,none,rarely,rarely,rarely,sometimes,sometimes,rarely,rarely,sometimes,rarely,sometimes,sometimes,rarely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0.4285714286,0.8333333333,1,0.6,0.8,0.2857142857,0.3333333333,1.4,1.6,
2008,480,3120000010,,,,,,somewhat,mastered,mastered,mastered,mastered,mastered,somewhat,sometimes,often,sometimes,rarely,often,often,often,sometimes,often,rarely,rarely,some,most,sometimes,sometimes,sometimes,often,often,sometimes,often,often,some,some,sometimes,sometimes,first only,sometimes,rarely,sometimes,sometimes,some,many,sometimes,sometimes,often,often,often,often,often,often,often,often,often,sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7142857143,2.3333333333,2,1.8,2.8,1.4285714286,1.5,3,2.8,
2008,480,3120000011,hispanic/latino,female,NO IEP - Regular Education,ELL,Free Lunch,mastered,mastered,mastered,mastered,somewhat,somewhat,somewhat,often,often,often,sometimes,often,sometimes,sometimes,rarely,rarely,never,never,some,most,sometimes,sometimes,rarely,rarely,rarely,rarely,rarely,rarely,some,some,sometimes,sometimes,first only,rarely,rarely,no,no,none,many,sometimes,rarely,sometimes,sometimes,often,often,often,often,sometimes,often,sometimes,sometimes,mastered,mastered,mastered,mastered,mastered,somewhat,somewhat,often,often,often,often,often,often,often,sometimes,often,sometimes,sometimes,some,most,often,sometimes,sometimes,often,often,often,sometimes,often,all,all,often,often,both,rarely,rarely,yes,no,many,many,often,sometimes,often,often,often,often,often,often,often,often,often,often,,1,0,1,0,1.5714285714,2.6666666667,0.8,1.6,1,1.2857142857,0.8333333333,2.6,2.4,2.3333333333
