Subject,Block,Condition,Item,Acc,RT,Target
101,11,Morph,D019,0,1331,VALSE
101,12,Sem,D084,1,753,LANCE
101,13,Sem,D104,1,584,TOUCHE
101,14,Orth,D046,1,765,BOULE
101,15,Sem,D077,0,880,NOUE
101,16,Nonce,N044,1,2366,LEMASSE
101,17,Morph,D017,1,586,SERRE
101,18,Nonce,N122,1,1678,MADISE
101,19,Nonce,N045,0,876,RAMANDE
101,20,Nonce,N013,0,1346,POUE
101,21,Nonce,N137,1,1497,PROGRAN
101,22,Nonce,N101,0,767,JUTE
101,23,Orth,D058,1,1191,PLACE
101,24,Morph,D028,1,1504,POUSSE
101,25,Orth,D062,1,1326,SOUDE
101,26,Morph,D010,1,861,CASSE
101,27,Nonce,N100,1,1303,TABE
101,28,Orth,D071,1,837,EXPLORE
101,29,Nonce,N110,0,2575,COILE
101,30,Nonce,N054,1,823,BAME
101,31,ID,D128,1,719,RESTE
101,32,ID,D109,1,1689,TIRE
101,33,ID,D140,1,1196,OBSERVE
101,34,Orth,D060,0,2420,SAUVE
101,35,Orth,D037,1,653,AIME
101,36,Morph,D033,1,667,CHERCHE
101,37,Nonce,N003,1,1276,TÂFE
101,38,Nonce,N066,1,930,BOCTE
101,39,Nonce,N111,0,1033,ÉMOPE
101,40,Nonce,N117,1,1453,BROYE
101,41,Sem,D080,1,603,DONNE
101,42,Morph,D018,1,544,SIGNE
101,43,ID,D123,0,831,SONNE
101,44,Nonce,N038,0,652,BOIGNE
101,45,Morph,D025,1,665,POSE
101,46,Nonce,N050,1,731,ARCE
101,47,Nonce,N030,0,1978,PÔLOYE
101,48,Morph,D001,0,778,OSE
101,49,Nonce,N080,0,666,VOTTE
101,50,Orth,D038,0,764,DUPE
101,51,Nonce,N014,1,1014,POYE
101,52,Orth,D072,1,671,COMMENCE
101,53,Sem,D098,1,713,NOTE
101,54,Sem,D081,1,708,ÉPOUSE
101,55,Nonce,N041,0,826,ECCUPE
101,56,Nonce,N005,1,879,VAYE
101,57,Orth,D052,1,701,LANGE
101,58,Orth,D068,1,900,CHARGE
101,59,Nonce,N136,1,1082,CHANLON
101,60,Nonce,N051,1,896,HOPE
101,61,Nonce,N134,0,850,PISQUE
101,62,Orth,D064,1,679,ARRIVE
101,63,Orth,D067,1,693,CHANGE
101,64,Sem,D073,1,695,ADORE
101,65,Nonce,N086,0,729,LAIGNE
101,66,Morph,D007,1,1096,LOUE
101,67,ID,D126,1,503,PARLE
101,68,Morph,D005,0,1237,ERRE
101,69,Orth,D057,1,530,ÉGALE
101,70,Nonce,N096,1,1609,TRALERSE
101,71,Sem,D095,0,870,DORE
101,72,Orth,D048,1,640,COUPE
101,73,Morph,D023,1,544,CHASSE
101,74,Nonce,N010,1,623,NENE
101,75,Sem,D097,1,584,ESPÈRE
101,76,Nonce,N009,1,916,MÊGE
101,77,Orth,D042,1,631,BASE
101,78,Nonce,N076,1,844,NÂCHE
101,79,Nonce,N029,1,965,FOULE
101,80,Nonce,N109,1,817,HOURE
101,81,Sem,D093,0,866,CLAQUE
101,82,Nonce,N121,1,883,BACORD
101,84,Nonce,N019,1,1237,GOUPE
101,85,Sem,D107,0,970,PERCE
101,86,Nonce,N144,1,1474,ENDISAGE
101,87,Orth,D053,1,560,MANGE
101,88,Nonce,N025,1,876,TOGUE
101,89,Nonce,N001,1,570,OYE
101,90,Nonce,N065,1,842,VORE
101,91,ID,D141,0,947,RAMASSE
101,92,Nonce,N106,1,1065,VERME
101,93,Nonce,N033,1,771,AGNORE
101,94,Nonce,N107,1,787,VIELE
101,95,ID,D132,1,791,MANQUE
101,96,Nonce,N008,1,719,LIME
101,97,Morph,D020,1,770,AJOUTE
101,98,ID,D114,0,866,MÊLE
101,99,Nonce,N068,0,1084,PACHE
101,100,Nonce,N046,1,746,DOPLACE
101,101,Orth,D059,1,1001,ROULE
101,102,Nonce,N126,0,930,ANNORE
101,103,Morph,D027,1,728,PLEURE
101,104,Nonce,N135,1,758,PROTTE
101,105,Morph,D008,1,586,AMUSE
101,106,ID,D129,0,950,MANIE
101,107,Nonce,N063,1,790,LONE
101,108,Nonce,N074,0,1154,LESTE
101,109,Nonce,N004,0,793,TELE
101,110,ID,D142,1,1033,EXPLIQUE
101,111,Nonce,N125,1,679,OLINGE
101,112,Nonce,N018,1,933,GORTE
101,113,Nonce,N072,1,1160,LENDE
101,114,Nonce,N112,0,1290,ÉPITE
101,115,Nonce,N027,1,717,BONGE
101,116,Morph,D031,1,719,DÉCIDE
101,117,Nonce,N016,1,646,GAISE
101,118,Nonce,N024,1,1128,TINTE
101,119,Nonce,N116,1,1159,HENTE
101,120,Nonce,N052,1,842,VIGE
101,121,Nonce,N085,0,772,JOUSSE
101,122,Orth,D056,1,643,PARIE
101,123,Morph,D012,1,701,ENTRE
101,124,Nonce,N021,1,723,HARRE
101,125,Sem,D076,0,761,HURLE
101,126,ID,D118,1,605,TÂCHE
101,127,Nonce,N127,1,713,EGRATE
101,128,Nonce,N028,1,668,IBOYE
101,129,Morph,D036,1,566,EXPRIME
101,130,Nonce,N093,1,905,DALENDE
101,131,Nonce,N099,1,1792,RÊME
101,132,ID,D122,1,624,TOMBE
101,133,Morph,D004,0,801,CITE
101,134,Morph,D003,1,697,ARME
101,135,Nonce,N113,1,1879,EXOGE
101,136,Nonce,N141,1,973,COMCAGE
101,137,Nonce,N114,1,1173,FANGE
101,138,Morph,D022,1,557,BOUFFE
101,139,Nonce,N118,1,1048,IMIPE
101,140,Orth,D049,1,602,ÉVITE
101,141,Sem,D090,1,570,TREMBLE
101,142,Nonce,N011,1,666,NOVE
101,143,Sem,D094,1,772,COLLE
101,144,Nonce,N049,1,795,BRE
101,145,Nonce,N105,1,988,VERLE
101,146,Nonce,N082,1,935,FIRGE
101,147,Sem,D103,0,666,PRIE
101,148,Nonce,N139,0,892,COMPISE
101,149,Orth,D045,1,998,BOUGE
101,150,Nonce,N094,0,1382,PAULEVE
101,151,Orth,D041,1,691,JUGE
101,152,Sem,D101,1,765,PORTE
101,153,ID,D139,0,809,BORDE
101,154,ID,D110,1,1005,RATE
101,156,Nonce,N055,1,982,JATE
101,157,Nonce,N043,1,1266,PANGE
101,158,ID,D125,1,836,TRACE
101,159,Nonce,N056,1,1065,FÂTE
101,160,Sem,D083,1,755,HABITE
101,161,ID,D135,1,738,RÉPÈTE
101,162,Orth,D040,1,1077,GARE
101,163,Nonce,N047,1,875,POMPRENE
101,164,ID,D137,1,617,RÉCITE
101,165,Nonce,N142,1,1265,POUSTRE
101,166,Nonce,N067,1,939,OVITE
101,167,Nonce,N060,1,638,TOXE
101,168,Nonce,N015,1,612,FUIDE
101,169,Nonce,N120,1,544,PLOQUE
101,170,Morph,D014,1,680,GAGNE
101,171,Nonce,N039,1,702,BROUVE
101,172,Sem,D102,1,1308,QUITTE
101,173,Nonce,N098,1,759,BAGE
101,174,Nonce,N073,1,706,LERDE
101,175,Nonce,N143,1,785,ATTRONTE
101,176,Nonce,N048,1,605,ASTEIGNE
101,177,Nonce,N129,1,721,LATERE
101,178,Nonce,N036,0,983,BAUSSE
101,179,Nonce,N088,1,804,LARCHE
101,180,Orth,D051,1,584,FORGE
101,181,Nonce,N035,1,964,ASTIRE
101,182,Sem,D087,1,784,SITUE
101,183,Sem,D078,0,1100,MÉRITE
101,184,Nonce,N075,1,963,MOMBE
101,185,Morph,D013,0,782,FONDE
101,186,Morph,D016,1,546,PENSE
101,187,Orth,D043,1,698,RASE
101,188,Nonce,N108,1,791,HOUPE
101,189,Morph,D009,1,871,BRISE
101,190,Orth,D065,0,977,ARROGE
101,191,Morph,D006,1,609,JOUE
101,192,Nonce,N087,1,998,LANQUE
101,193,Nonce,N042,0,1094,ENTEME
101,194,Sem,D082,1,1152,GRIMPE
101,195,Nonce,N089,0,1056,LÉGÉTE
101,196,Nonce,N053,1,1037,VOPE
101,197,Nonce,N123,1,1538,NARQUE
101,198,Sem,D105,1,541,TROUVE
101,199,Nonce,N062,1,880,HEVE
101,200,ID,D127,1,990,ÉTALE
101,201,Nonce,N138,1,914,BEPONSE
101,202,ID,D121,1,525,DANSE
101,203,Nonce,N124,1,900,PABITE
101,204,Nonce,N059,0,514,VIGE
101,205,Nonce,N023,1,1237,SARDE
101,206,Nonce,N084,1,866,ITONNE
101,207,Morph,D030,1,908,SOIGNE
101,208,Sem,D075,1,586,FORME
101,209,Nonce,N012,1,597,OLLE
101,210,Sem,D086,1,522,REFUSE
101,211,Nonce,N017,1,793,GARGE
101,212,ID,D138,1,569,PRÉPARE
101,213,Orth,D039,0,641,FIGE
101,214,Orth,D069,1,530,ÉCOUTE
101,215,Nonce,N092,1,681,LEPARTE
101,216,Nonce,N078,1,687,DOULE
101,217,Nonce,N077,1,817,NONNE
101,218,Orth,D047,0,906,BRÛLE
101,219,Nonce,N130,1,752,GODONE
101,220,ID,D112,0,607,DURE
101,221,ID,D136,0,2219,PULSE
101,222,Nonce,N058,1,788,IPTE
101,223,Nonce,N102,1,960,VESE
101,224,Nonce,N097,1,724,POVE
101,225,ID,D130,0,699,VANTE
101,226,Sem,D085,1,714,RACONTE
101,228,Morph,D035,1,758,FROTTE
101,229,Nonce,N128,1,1226,VECEVE
101,230,Nonce,N034,0,559,AMMIRE
101,231,Sem,D088,1,755,RINCE
101,232,Orth,D063,0,754,BRASE
101,233,Nonce,N079,1,1226,ÉLEPE
101,234,ID,D113,1,1379,VIDE
101,235,Sem,D099,1,1482,OUBLIE
101,236,Nonce,N103,1,848,TOUE
101,237,Nonce,N115,1,745,VAE
101,238,Nonce,N032,1,936,AFANCE
101,239,Nonce,N131,1,715,LAMELE
101,240,Nonce,N070,1,710,HARTE
101,241,ID,D131,1,1145,BOUCLE
101,242,Nonce,N132,1,752,LOSARE
101,243,Orth,D044,1,784,VOLE
101,244,Nonce,N007,0,572,LÊTE
101,245,Orth,D070,0,996,TRAITE
101,246,ID,D111,1,668,FUME
101,247,Orth,D050,1,821,FERME
