Subject,Block,Condition,Item,Acc,RT,Target
105,11,Morph,D027,1,1003,PLEURE
105,12,Orth,D038,1,1103,DUPE
105,13,ID,D141,1,1294,RAMASSE
105,14,Orth,D037,1,1896,AIME
105,15,ID,D125,0,1566,TRACE
105,16,Morph,D013,1,1674,FONDE
105,17,Orth,D046,1,1968,BOULE
105,18,Orth,D056,0,1176,PARIE
105,19,Nonce,N121,1,1824,BACORD
105,20,Nonce,N019,0,1865,GOUPE
105,21,Nonce,N027,1,2314,BONGE
105,22,Morph,D023,1,1565,CHASSE
105,23,Sem,D107,0,1776,PERCE
105,24,Orth,D063,1,1184,BRASE
105,25,ID,D143,1,1012,RETOURNE
105,26,Morph,D014,1,961,GAGNE
105,27,Nonce,N068,0,1236,PACHE
105,28,Nonce,N064,1,1346,ÉGIE
105,29,ID,D118,1,961,TÂCHE
105,30,Nonce,N110,0,2173,COILE
105,31,Nonce,N123,1,1629,NARQUE
105,32,Orth,D054,1,930,MONTE
105,33,ID,D115,1,1432,PÈSE
105,34,ID,D136,0,1621,PULSE
105,35,Nonce,N006,1,1118,LAPE
105,36,Nonce,N127,1,2041,EGRATE
105,37,Nonce,N141,1,2002,COMCAGE
105,38,Morph,D035,1,1839,FROTTE
105,39,Nonce,N029,0,928,FOULE
105,40,Nonce,N030,0,1567,PÔLOYE
105,41,Orth,D071,0,2442,EXPLORE
105,42,Sem,D086,1,1244,REFUSE
105,43,Morph,D020,1,1381,AJOUTE
105,44,Sem,D091,1,977,TROMPE
105,45,Orth,D040,1,1177,GARE
105,46,Nonce,N055,1,961,JATE
105,47,ID,D144,1,893,MOULE
105,48,Nonce,N012,0,1111,OLLE
105,49,Sem,D098,1,1065,NOTE
105,50,Sem,D105,1,795,TROUVE
105,51,ID,D127,1,867,ÉTALE
105,52,Nonce,N135,1,1508,PROTTE
105,53,Nonce,N111,1,1887,ÉMOPE
105,54,Nonce,N009,1,1402,MÊGE
105,55,Nonce,N075,0,2354,MOMBE
105,56,Morph,D026,1,1106,MONTRE
105,57,Sem,D087,1,960,SITUE
105,58,Sem,D104,1,836,TOUCHE
105,59,Nonce,N126,1,1369,ANNORE
105,60,Nonce,N040,1,984,DOVALE
105,61,Morph,D005,1,1300,ERRE
105,62,Orth,D061,0,1290,SONGE
105,63,Nonce,N109,1,1197,HOURE
105,64,Nonce,N093,0,1181,DALENDE
105,65,Morph,D029,1,793,ACCUSE
105,66,Nonce,N049,0,1794,BRE
105,67,Orth,D047,1,898,BRÛLE
105,68,ID,D120,1,953,CRÈVE
105,69,Orth,D053,1,1088,MANGE
105,70,Morph,D033,1,929,CHERCHE
105,71,Morph,D004,0,1312,CITE
105,72,Nonce,N003,1,1499,TÂFE
105,73,ID,D119,0,2034,DOUTE
105,74,Nonce,N022,1,1519,ROUVE
105,75,Nonce,N056,1,2002,FÂTE
105,76,Orth,D052,0,1242,LANGE
105,77,ID,D137,1,819,RÉCITE
105,78,Orth,D058,1,1028,PLACE
105,79,Morph,D018,1,848,SIGNE
105,80,Sem,D102,1,974,QUITTE
105,81,Nonce,N097,1,774,POVE
105,82,Nonce,N021,0,1046,HARRE
105,84,Nonce,N087,0,849,LANQUE
105,85,Morph,D036,1,935,EXPRIME
105,86,ID,D134,0,1026,PLONGE
105,87,Nonce,N091,1,975,DOFUSTE
105,88,Nonce,N138,1,903,BEPONSE
105,89,Nonce,N088,1,1324,LARCHE
105,90,ID,D133,1,923,INVITE
105,91,Sem,D099,1,802,OUBLIE
105,92,Nonce,N120,0,1455,PLOQUE
105,93,Nonce,N116,0,2125,HENTE
105,94,Nonce,N046,1,1940,DOPLACE
105,95,Morph,D003,1,751,ARME
105,96,Orth,D067,1,819,CHANGE
105,97,ID,D122,1,891,TOMBE
105,98,Nonce,N059,1,1741,VIGE
105,99,Nonce,N067,1,1600,OVITE
105,100,Sem,D094,1,1040,COLLE
105,101,Orth,D045,1,922,BOUGE
105,102,Orth,D068,1,681,CHARGE
105,103,Morph,D025,1,815,POSE
105,104,Nonce,N001,0,1216,OYE
105,105,Nonce,N077,1,816,NONNE
105,106,Orth,D043,0,977,RASE
105,107,Sem,D103,1,1417,PRIE
105,108,Nonce,N047,0,1465,POMPRENE
105,109,Morph,D010,1,1355,CASSE
105,110,Nonce,N082,1,1695,FIRGE
105,111,Nonce,N124,1,1425,PABITE
105,112,Nonce,N083,0,738,GANGE
105,113,Nonce,N042,0,1325,ENTEME
105,114,Nonce,N017,1,772,GARGE
105,115,Nonce,N122,0,1580,MADISE
105,116,Nonce,N105,0,1344,VERLE
105,117,Nonce,N128,1,1535,VECEVE
105,118,Nonce,N098,1,1530,BAGE
105,119,Nonce,N102,1,2073,VESE
105,120,Nonce,N037,0,895,BEILLE
105,121,ID,D124,1,1489,ABUSE
105,122,Orth,D072,1,748,COMMENCE
105,123,Morph,D011,1,787,CLOUE
105,124,Nonce,N028,1,991,IBOYE
105,125,Nonce,N016,0,1391,GAISE
