Subject,Block,Condition,Item,Acc,RT,Target
102,160,Nonce,N034,1,1242,AMMIRE
102,161,Nonce,N079,0,1275,ÉLEPE
102,162,Sem,D108,0,913,VEXE
102,163,Morph,D021,1,612,BLESSE
102,164,ID,D124,1,520,ABUSE
102,165,Nonce,N102,1,1374,VESE
102,166,Orth,D067,1,742,CHANGE
102,167,Sem,D095,1,1441,DORE
102,168,Nonce,N035,1,1379,ASTIRE
102,169,Nonce,N033,1,1159,AGNORE
102,170,ID,D116,1,635,RÊVE
102,171,Nonce,N106,0,864,VERME
102,172,ID,D133,1,826,INVITE
102,173,Sem,D074,1,1058,AVALE
102,174,Nonce,N126,1,688,ANNORE
102,175,Morph,D016,1,625,PENSE
102,176,ID,D139,1,638,BORDE
102,177,Nonce,N003,1,1127,TÂFE
102,178,Nonce,N129,1,862,LATERE
102,179,Sem,D101,1,568,PORTE
102,180,Nonce,N134,0,536,PISQUE
102,181,ID,D127,1,603,ÉTALE
102,182,Sem,D077,1,752,NOUE
102,183,Nonce,N138,1,1151,BEPONSE
102,184,Nonce,N119,1,1351,PLAUDE
102,185,Morph,D026,1,542,MONTRE
102,186,Sem,D097,1,608,ESPÈRE
102,187,Morph,D009,1,997,BRISE
102,188,Nonce,N075,1,933,MOMBE
102,189,Nonce,N094,1,1056,PAULEVE
102,190,Nonce,N062,1,1614,HEVE
102,191,Nonce,N045,0,1066,RAMANDE
102,192,ID,D121,1,756,DANSE
102,193,Nonce,N013,0,1072,POUE
102,194,ID,D141,1,794,RAMASSE
102,195,Nonce,N085,1,1010,JOUSSE
102,196,Nonce,N051,0,1278,HOPE
102,197,Sem,D075,1,924,FORME
102,198,Nonce,N078,0,1187,DOULE
102,199,Sem,D100,1,1103,PASSE
102,200,Nonce,N027,1,965,BONGE
102,201,Sem,D106,1,649,AIDE
102,202,ID,D113,1,594,VIDE
102,203,Nonce,N072,1,1099,LENDE
102,204,Morph,D020,1,785,AJOUTE
102,205,Sem,D093,0,749,CLAQUE
102,206,Morph,D022,1,989,BOUFFE
102,207,Nonce,N101,0,640,JUTE
102,208,ID,D134,1,657,PLONGE
102,209,Orth,D046,1,574,BOULE
102,210,Sem,D103,1,638,PRIE
102,211,ID,D119,1,880,DOUTE
102,212,Nonce,N026,1,966,TRISE
102,213,Nonce,N089,1,1713,LÉGÉTE
102,214,Nonce,N135,1,1484,PROTTE
102,215,Nonce,N097,1,1186,POVE
102,216,Nonce,N124,1,830,PABITE
102,217,Nonce,N054,0,1146,BAME
102,218,Orth,D038,0,978,DUPE
102,219,Nonce,N009,0,502,MÊGE
102,220,ID,D138,1,620,PRÉPARE
102,221,ID,D120,1,1149,CRÈVE
102,222,Nonce,N114,1,789,FANGE
102,223,Morph,D004,1,633,CITE
102,224,Nonce,N019,0,1102,GOUPE
102,225,Nonce,N073,1,908,LERDE
102,226,Nonce,N006,1,1671,LAPE
102,228,Orth,D049,1,1494,ÉVITE
102,229,Orth,D039,0,664,FIGE
102,230,Sem,D099,1,706,OUBLIE
102,231,Nonce,N116,0,1193,HENTE
102,232,Nonce,N053,1,673,VOPE
