Subject,Block,Condition,Item,Acc,RT,Target
103,11,Nonce,N113,1,1214,EXOGE
103,12,Nonce,N085,0,855,JOUSSE
103,13,Nonce,N076,0,1133,NÂCHE
103,14,Nonce,N052,1,1728,VIGE
103,15,Orth,D062,1,839,SOUDE
103,16,Sem,D086,1,1808,REFUSE
103,17,Nonce,N068,0,1213,PACHE
103,18,Morph,D016,1,881,PENSE
103,19,Morph,D020,1,743,AJOUTE
103,20,Orth,D037,1,546,AIME
103,21,ID,D138,1,2362,PRÉPARE
103,22,Morph,D033,1,765,CHERCHE
103,23,Nonce,N014,1,849,POYE
103,24,Nonce,N003,0,898,TÂFE
103,25,Sem,D088,0,1393,RINCE
103,26,Morph,D017,1,2184,SERRE
103,27,Nonce,N053,1,676,VOPE
103,28,Morph,D010,1,714,CASSE
103,29,Nonce,N118,1,1061,IMIPE
103,30,Nonce,N124,1,938,PABITE
103,31,Sem,D090,1,1133,TREMBLE
103,32,Nonce,N119,0,1000,PLAUDE
103,33,Nonce,N142,0,1657,POUSTRE
103,34,Nonce,N033,1,806,AGNORE
103,35,Sem,D082,0,947,GRIMPE
103,36,ID,D120,1,970,CRÈVE
103,37,Orth,D063,1,866,BRASE
103,38,Orth,D065,0,1156,ARROGE
103,39,ID,D122,1,668,TOMBE
103,40,Nonce,N072,0,2221,LENDE
103,41,Morph,D034,1,1062,ÉCHAPPE
103,42,Nonce,N074,1,1336,LESTE
103,43,Nonce,N050,0,1195,ARCE
103,44,Nonce,N137,1,972,PROGRAN
103,45,Nonce,N008,0,1107,LIME
103,46,Orth,D064,1,730,ARRIVE
103,47,Nonce,N029,0,793,FOULE
103,48,Nonce,N036,0,1593,BAUSSE
103,49,ID,D115,0,968,PÈSE
103,50,Orth,D061,1,944,SONGE
103,51,Nonce,N081,1,1328,VONDE
103,52,Nonce,N089,1,1223,LÉGÉTE
103,53,Orth,D045,1,1111,BOUGE
103,54,Nonce,N126,1,698,ANNORE
103,55,Sem,D074,0,1653,AVALE
103,56,Orth,D047,1,618,BRÛLE
103,57,Nonce,N061,1,1091,GULE
103,58,Nonce,N019,1,1109,GOUPE
103,59,Nonce,N013,0,1416,POUE
103,60,Morph,D018,1,809,SIGNE
103,61,ID,D113,1,813,VIDE
103,62,Morph,D027,1,786,PLEURE
103,63,Sem,D100,1,486,PASSE
103,64,Sem,D094,0,1024,COLLE
103,65,Nonce,N064,1,1017,ÉGIE
103,66,Nonce,N073,1,586,LERDE
103,67,Nonce,N044,1,694,LEMASSE
103,68,Sem,D093,0,2056,CLAQUE
103,69,Sem,D102,1,541,QUITTE
103,70,Nonce,N106,0,760,VERME
103,71,Morph,D008,1,500,AMUSE
103,72,Sem,D080,1,610,DONNE
103,73,Orth,D049,1,1078,ÉVITE
103,74,Morph,D026,1,588,MONTRE
103,75,Nonce,N030,1,816,PÔLOYE
103,76,ID,D124,1,3241,ABUSE
103,77,Nonce,N004,0,1226,TELE
103,78,Morph,D004,1,671,CITE
103,79,Sem,D084,1,505,LANCE
103,80,Morph,D019,0,1095,VALSE
103,81,Orth,D053,1,626,MANGE
103,82,Sem,D096,1,674,EMPÊCHE
103,84,ID,D111,1,709,FUME
103,85,Nonce,N025,1,847,TOGUE
103,86,Nonce,N114,0,576,FANGE
103,87,Orth,D069,1,648,ÉCOUTE
103,88,ID,D125,1,1370,TRACE
103,89,Nonce,N041,1,889,ECCUPE
103,90,Nonce,N012,1,708,OLLE
103,91,Nonce,N112,1,698,ÉPITE
103,92,Nonce,N122,1,736,MADISE
103,93,Morph,D028,1,531,POUSSE
103,94,Nonce,N069,1,762,PITUE
103,95,Nonce,N058,1,558,IPTE
103,96,Sem,D105,1,568,TROUVE
103,97,Nonce,N022,1,1728,ROUVE
103,98,Morph,D013,1,855,FONDE
103,99,Nonce,N087,1,885,LANQUE
103,100,Nonce,N028,1,599,IBOYE
103,101,Nonce,N065,1,767,VORE
103,102,Nonce,N134,0,767,PISQUE
103,103,Nonce,N111,1,567,ÉMOPE
103,104,Nonce,N141,1,1498,COMCAGE
103,105,Nonce,N125,1,1081,OLINGE
103,106,Nonce,N096,1,1271,TRALERSE
103,107,Orth,D051,1,537,FORGE
103,108,Nonce,N011,1,756,NOVE
103,109,Orth,D072,1,703,COMMENCE
103,110,Nonce,N046,0,1222,DOPLACE
103,111,Orth,D054,1,487,MONTE
103,112,ID,D110,1,769,RATE
103,113,Sem,D104,1,704,TOUCHE
103,114,Morph,D025,1,663,POSE
103,115,Nonce,N010,1,833,NENE
103,116,Nonce,N062,1,782,HEVE
103,117,Nonce,N031,0,538,ACOUTE
103,118,ID,D127,0,829,ÉTALE
103,119,Nonce,N051,1,762,HOPE
103,120,Morph,D022,1,557,BOUFFE
103,121,Sem,D106,1,544,AIDE
103,122,Nonce,N109,0,823,HOURE
103,123,Nonce,N107,0,1056,VIELE
103,124,ID,D140,1,757,OBSERVE
103,125,Nonce,N090,1,793,ACLATE
103,126,Sem,D073,1,569,ADORE
103,127,Nonce,N092,1,2921,LEPARTE
103,128,Nonce,N132,1,848,LOSARE
103,129,Orth,D043,0,1610,RASE
103,130,Nonce,N037,1,1766,BEILLE
103,131,Morph,D035,0,970,FROTTE
103,132,Nonce,N056,0,626,FÂTE
103,133,ID,D112,1,626,DURE
103,134,Orth,D071,1,639,EXPLORE
103,135,Morph,D009,1,729,BRISE
103,136,ID,D114,1,1559,MÊLE
103,137,Nonce,N032,1,947,AFANCE
103,138,ID,D109,1,667,TIRE
103,139,Nonce,N104,1,884,BENTE
103,140,Nonce,N060,0,1410,TOXE
103,141,Morph,D001,1,927,OSE
103,142,Nonce,N042,1,782,ENTEME
103,143,Nonce,N131,0,1874,LAMELE
103,144,Sem,D103,1,1455,PRIE
103,145,ID,D119,1,596,DOUTE
103,146,ID,D142,1,637,EXPLIQUE
103,147,Nonce,N129,1,1126,LATERE
103,148,Morph,D012,1,821,ENTRE
103,149,Morph,D007,1,709,LOUE
103,150,Orth,D068,1,536,CHARGE
103,151,Orth,D060,1,571,SAUVE
103,152,Orth,D070,1,1043,TRAITE
103,153,Nonce,N136,1,1212,CHANLON
103,154,Sem,D075,1,657,FORME
103,156,Nonce,N133,1,987,PEVINE
103,157,Nonce,N144,1,687,ENDISAGE
103,158,ID,D141,1,1281,RAMASSE
103,159,Sem,D107,0,1199,PERCE
103,160,Nonce,N088,1,975,LARCHE
103,161,Nonce,N048,0,1479,ASTEIGNE
103,162,Orth,D055,0,1037,PANSE
103,163,Orth,D059,1,842,ROULE
103,164,ID,D126,1,539,PARLE
103,165,Nonce,N101,0,766,JUTE
103,166,Nonce,N001,1,1458,OYE
103,167,Nonce,N021,0,1519,HARRE
103,168,Nonce,N017,0,593,GARGE
103,169,ID,D143,1,650,RETOURNE
103,170,Nonce,N127,1,1895,EGRATE
103,171,Nonce,N079,0,753,ÉLEPE
103,172,Nonce,N063,1,1225,LONE
103,173,ID,D116,1,513,RÊVE
103,174,Orth,D048,1,476,COUPE
103,175,Sem,D087,1,1034,SITUE
103,176,Nonce,N045,1,1023,RAMANDE
103,177,Orth,D067,1,592,CHANGE
103,178,Nonce,N143,0,1160,ATTRONTE
103,179,Nonce,N038,0,852,BOIGNE
103,180,Orth,D041,1,1073,JUGE
103,181,Nonce,N078,1,1327,DOULE
103,182,ID,D130,0,622,VANTE
103,183,Nonce,N077,0,2207,NONNE
103,184,Sem,D083,0,580,HABITE
103,185,Nonce,N091,1,1008,DOFUSTE
103,186,Nonce,N103,1,2332,TOUE
103,187,Nonce,N015,1,719,FUIDE
103,188,Sem,D079,1,698,ACCEPTE
103,189,Nonce,N105,0,1528,VERLE
103,190,Morph,D003,1,495,ARME
103,191,Nonce,N007,1,849,LÊTE
103,192,Nonce,N098,0,614,BAGE
103,193,Nonce,N057,0,607,RISE
103,194,Nonce,N121,1,1819,BACORD
103,195,Morph,D011,0,836,CLOUE
103,196,Nonce,N002,1,761,FRE
103,197,Nonce,N075,1,845,MOMBE
103,198,Nonce,N040,1,854,DOVALE
103,199,Morph,D023,1,691,CHASSE
103,200,Nonce,N117,1,678,BROYE
103,201,Sem,D101,1,572,PORTE
103,202,Nonce,N084,1,635,ITONNE
103,203,Nonce,N123,1,1424,NARQUE
103,204,Nonce,N024,0,689,TINTE
103,205,Orth,D057,1,683,ÉGALE
103,206,Nonce,N115,1,1057,VAE
103,207,Orth,D042,1,663,BASE
